Epoch 328: Loss: 98862158650449792.00000, Validation Loss: 4176147398889337900.00000
Epoch 329: Loss: 98328386296066288.00000, Validation Loss: 4173288289117238800.00000
Epoch 330: Loss: 97798722129646512.00000, Validation Loss: 4170445061619357200.00000
Epoch 331: Loss: 97273125166620944.00000, Validation Loss: 4167617588718177300.00000
Epoch 332: Loss: 96751554924187280.00000, Validation Loss: 4164805744074233300.00000
Epoch 333: Loss: 96233971414035984.00000, Validation Loss: 4162009402668874800.00000
Epoch 334: Loss: 95720335135196736.00000, Validation Loss: 4159228440787284000.00000
Epoch 335: Loss: 95210607067005376.00000, Validation Loss: 4156462736001758700.00000
Epoch 336: Loss: 94704748662187216.00000, Validation Loss: 4153712167155242000.00000
Epoch 337: Loss: 94202721840056208.00000, Validation Loss: 4150976614345113600.00000
Epoch 338: Loss: 93704488979826320.00000, Validation Loss: 4148255958907212800.00000
Epoch 339: Loss: 93210012914033760.00000, Validation Loss: 4145550083400102900.00000
Epoch 340: Loss: 92719256922068128.00000, Validation Loss: 4142858871589590500.00000
